OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
5440,aae098f0,10/2/2015 12:11,Monday,Oct,2,2015,12,11,23,2015,GRAND LARCENY,FELONY,B,25,MANHATTAN,N.Y. POLICE DEPT,1001575,232339,"(40.8043840460001, -73.9374216689999)"
17589,ea9926ff,12/10/2015 16:45,Sunday,Dec,10,2015,16,12,10,2015,FELONY ASSAULT,FELONY,C,18,MANHATTAN,N.Y. POLICE DEPT,991707,216641,"(40.7613110390001, -73.973083376)"
713631,ab905411,2/13/2015 0:01,Friday,Feb,13,2015,0,5,22,2015,GRAND LARCENY,FELONY,B,67,BROOKLYN,N.Y. POLICE DEPT,998258,176200,"(40.65030209, -73.9495198819999)"
713632,6032359b,2/13/2015 0:01,Friday,Feb,13,2015,0,8,27,2015,GRAND LARCENY,FELONY,C,71,BROOKLYN,N.Y. POLICE DEPT,995754,179075,"(40.6581969440001, -73.958538808)"
713636,c6c5e86f,2/13/2015 0:15,Friday,Feb,13,2015,0,2,13,2015,GRAND LARCENY,FELONY,A,13,MANHATTAN,N.Y. POLICE DEPT,988754,205909,"(40.7318563860001, -73.9837502199999)"
713637,a9b49f7c,2/13/2015 0:15,Friday,Feb,13,2015,0,2,17,2015,GRAND LARCENY,FELONY,C,18,MANHATTAN,N.Y. POLICE DEPT,992252,217131,"(40.7626554870001, -73.9711154669999)"
713638,a7e893d3,2/13/2015 0:30,Friday,Feb,13,2015,0,2,23,2015,GRAND LARCENY,FELONY,A,10,MANHATTAN,N.Y. POLICE DEPT,983088,209816,"(40.7425812060001, -74.004194825)"
713946,9c0f8a75,2/13/2015 2:00,Friday,Feb,13,2015,2,2,13,2015,BURGLARY,FELONY,B,69,BROOKLYN,N.Y. POLICE DEPT,1011717,173910,"(40.643985023, -73.9010261449999)"
713947,2f9b62b,2/13/2015 2:00,Friday,Feb,13,2015,2,3,4,2015,GRAND LARCENY,FELONY,B,20,MANHATTAN,N.Y. POLICE DEPT,987189,220929,"(40.7730831470001, -73.9893904529999)"
713951,149d446e,2/13/2015 3:20,Friday,Feb,13,2015,3,2,13,2015,FELONY ASSAULT,FELONY,A,110,QUEENS,N.Y. POLICE DEPT,1016282,211662,"(40.7475900800001, -73.884396999)"
713954,efa189a5,2/13/2015 3:39,Friday,Feb,13,2015,3,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,68,BROOKLYN,N.Y. POLICE DEPT,980694,162752,"(40.6134005330001, -74.0128093499999)"
713961,c3cd0e41,2/13/2015 6:00,Friday,Feb,13,2015,6,2,13,2015,FELONY ASSAULT,FELONY,C,61,BROOKLYN,N.Y. POLICE DEPT,995805,153724,"(40.5886136840001, -73.958398385)"
714262,c288c861,2/13/2015 6:00,Friday,Feb,13,2015,6,2,14,2015,BURGLARY,FELONY,B,107,QUEENS,N.Y. POLICE DEPT,1037750,198324,"(40.710876791, -73.807024586)"
714264,91fe53b4,2/13/2015 6:00,Friday,Feb,13,2015,6,2,13,2015,BURGLARY,FELONY,C,40,BRONX,N.Y. POLICE DEPT,1007977,235114,"(40.81198578, -73.914287154)"
714267,bf605d86,2/13/2015 6:49,Friday,Feb,13,2015,6,2,17,2015,GRAND LARCENY,FELONY,A,43,BRONX,N.Y. POLICE DEPT,1020316,239179,"(40.823101299, -73.8696904609999)"
714268,45254fc6,2/13/2015 7:00,Friday,Feb,13,2015,7,2,13,2015,ROBBERY,FELONY,C,70,BROOKLYN,N.Y. POLICE DEPT,995288,166651,"(40.624096319, -73.960238686)"
714273,54f62b78,2/13/2015 7:30,Friday,Feb,13,2015,7,3,3,2015,RAPE,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1002106,249501,"(40.8514877740001, -73.9354579669999)"
714275,444ee716,2/13/2015 7:50,Friday,Feb,13,2015,7,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,48,BRONX,N.Y. POLICE DEPT,1014938,252245,"(40.8589839570001, -73.889062042)"
714276,8fe6db4,2/13/2015 8:00,Friday,Feb,13,2015,8,2,14,2015,BURGLARY,FELONY,A,105,QUEENS,N.Y. POLICE DEPT,1049321,181687,"(40.6651346690001, -73.765448342)"
714583,8fe600ec,2/13/2015 8:20,Friday,Feb,13,2015,8,2,13,2015,ROBBERY,FELONY,A,79,BROOKLYN,N.Y. POLICE DEPT,1001306,186673,"(40.679042806, -73.938509112)"
714587,263f023,2/13/2015 8:30,Friday,Feb,13,2015,8,2,13,2015,FELONY ASSAULT,FELONY,C,41,BRONX,N.Y. POLICE DEPT,1015551,236000,"(40.8143940140001, -73.886921812)"
