OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
17512,d71bac4b,9/6/2015 2:00,Wednesday,Sep,6,2015,2,10,2,2015,FELONY ASSAULT,FELONY,G,90,BROOKLYN,N.Y. HOUSING POLICE,999983,195658,"(40.703707008, -73.943257966)"
714269,3ea9eb51,2/13/2015 7:00,Friday,Feb,13,2015,7,3,3,2015,GRAND LARCENY,FELONY,E,71,BROOKLYN,N.Y. POLICE DEPT,996609,180771,"(40.6628509390001, -73.9554541159999)"
714270,cb25a544,2/13/2015 7:00,Friday,Feb,13,2015,7,3,4,2015,GRAND LARCENY,FELONY,E,26,MANHATTAN,N.Y. HOUSING POLICE,996894,236589,"(40.816057056, -73.954321942)"
714278,b61ae1b3,2/13/2015 8:00,Friday,Feb,13,2015,8,5,5,2015,GRAND LARCENY,FELONY,F,88,BROOKLYN,N.Y. POLICE DEPT,993127,189374,"(40.686468416, -73.9679934599999)"
715544,e01358d8,2/13/2015 13:51,Friday,Feb,13,2015,13,3,5,2015,GRAND LARCENY,FELONY,E,44,BRONX,N.Y. POLICE DEPT,1004530,242729,"(40.8328953810001, -73.926716496)"
725214,a346723f,4/16/2015 23:00,Thursday,Apr,16,2015,23,5,5,2015,FELONY ASSAULT,FELONY,F,79,BROOKLYN,N.Y. POLICE DEPT,998608,193487,"(40.697750458, -73.9482217409999)"
726167,d870b240,5/22/2015 7:00,Friday,May,22,2015,7,6,2,2015,GRAND LARCENY,FELONY,G,68,BROOKLYN,N.Y. POLICE DEPT,973027,165137,"(40.619940469, -74.040428114)"
726177,2b597a23,5/22/2015 8:00,Friday,May,22,2015,8,6,6,2015,GRAND LARCENY,FELONY,F,43,BRONX,N.Y. POLICE DEPT,1021938,241376,"(40.82912466, -73.86381764)"
730350,1f2cc74c,8/7/2015 0:20,Friday,Aug,7,2015,0,8,7,2015,GRAND LARCENY,FELONY,F,18,MANHATTAN,N.Y. POLICE DEPT,988648,215208,"(40.7573798720001, -73.984126607)"
730357,cca481e8,8/7/2015 0:45,Friday,Aug,7,2015,0,8,7,2015,ROBBERY,FELONY,F,83,BROOKLYN,N.Y. POLICE DEPT,1002901,192700,"(40.6955823210001, -73.932741946)"
730358,e70e0fa5,8/7/2015 0:55,Friday,Aug,7,2015,0,8,7,2015,ROBBERY,FELONY,G,115,QUEENS,N.Y. POLICE DEPT,1016026,211627,"(40.747494938, -73.885321074)"
730676,ecc402ed,8/7/2015 1:45,Friday,Aug,7,2015,1,8,7,2015,FELONY ASSAULT,FELONY,E,5,MANHATTAN,N.Y. POLICE DEPT,985644,201820,"(40.7206341090001, -73.994972495)"
730682,198f9973,8/7/2015 2:06,Friday,Aug,7,2015,2,8,7,2015,FELONY ASSAULT,FELONY,E,81,BROOKLYN,N.Y. POLICE DEPT,1006482,189763,"(40.6875126640001, -73.919837792)"
730987,c765824a,8/7/2015 2:10,Friday,Aug,7,2015,2,8,7,2015,FELONY ASSAULT,FELONY,G,28,MANHATTAN,N.Y. POLICE DEPT,996405,232464,"(40.8047357610001, -73.956096041)"
730988,acf6f746,8/7/2015 2:25,Friday,Aug,7,2015,2,8,7,2015,BURGLARY,FELONY,E,60,BROOKLYN,N.Y. POLICE DEPT,988863,150868,"(40.5807808600001, -73.983394569)"
730990,274ee363,8/7/2015 2:30,Friday,Aug,7,2015,2,8,7,2015,GRAND LARCENY,FELONY,G,70,BROOKLYN,N.Y. TRANSIT POLICE,998767,169858,"(40.6328938410001, -73.9476992099999)"
730997,dbe33d00,8/7/2015 3:30,Friday,Aug,7,2015,3,8,7,2015,ROBBERY,FELONY,G,122,STATEN ISLAND,N.Y. POLICE DEPT,958402,148411,"(40.5740003940001, -74.093045198)"
731307,3c89741e,8/7/2015 4:35,Friday,Aug,7,2015,4,8,7,2015,FELONY ASSAULT,FELONY,F,26,MANHATTAN,N.Y. POLICE DEPT,997004,236786,"(40.8165976070001, -73.953924166)"
731308,7e845df8,8/7/2015 4:45,Friday,Aug,7,2015,4,8,7,2015,FELONY ASSAULT,FELONY,F,83,BROOKLYN,N.Y. POLICE DEPT,1002447,193759,"(40.698489974, -73.9343763059999)"
731311,751e3116,8/7/2015 5:30,Friday,Aug,7,2015,5,8,7,2015,ROBBERY,FELONY,E,50,BRONX,N.Y. HOUSING POLICE,1010206,258125,"(40.875137942, -73.906145787)"
731312,88c7292b,8/7/2015 6:25,Friday,Aug,7,2015,6,8,8,2015,BURGLARY,FELONY,E,76,BROOKLYN,N.Y. POLICE DEPT,984202,189287,"(40.686234072, -74.000174519)"
731313,bf1c8af6,8/7/2015 6:30,Friday,Aug,7,2015,6,8,8,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,43,BRONX,N.Y. POLICE DEPT,1027406,241363,"(40.829063955, -73.844059403)"
731316,c72d0f0e,8/7/2015 7:00,Friday,Aug,7,2015,7,8,7,2015,BURGLARY,FELONY,F,68,BROOKLYN,N.Y. POLICE DEPT,980357,169239,"(40.6312058550001, -74.01402689)"
731319,113c6157,8/7/2015 7:00,Friday,Aug,7,2015,7,8,8,2015,GRAND LARCENY,FELONY,E,28,MANHATTAN,N.Y. POLICE DEPT,999393,233707,"(40.808142838, -73.945300203)"
731637,22874e3a,8/7/2015 8:00,Friday,Aug,7,2015,8,8,7,2015,BURGLARY,FELONY,G,106,QUEENS,N.Y. POLICE DEPT,1035591,188430,"(40.6837329110001, -73.8148875859999)"
731643,486dfaae,8/7/2015 8:30,Friday,Aug,7,2015,8,8,7,2015,BURGLARY,FELONY,G,68,BROOKLYN,N.Y. POLICE DEPT,973606,166487,"(40.623646652, -74.0383446119999)"
731645,24f57747,8/7/2015 8:30,Friday,Aug,7,2015,8,8,7,2015,GRAND LARCENY,FELONY,E,17,MANHATTAN,N.Y. POLICE DEPT,992159,215346,"(40.757756204, -73.971453282)"
731648,3e4e6fe8,8/7/2015 8:45,Friday,Aug,7,2015,8,8,7,2015,BURGLARY,FELONY,F,83,BROOKLYN,N.Y. POLICE DEPT,1004128,194687,"(40.701033501, -73.92831126)"
731649,e744f8b3,8/7/2015 8:45,Friday,Aug,7,2015,8,8,7,2015,GRAND LARCENY,FELONY,E,1,MANHATTAN,N.Y. TRANSIT POLICE,980482,197208,"(40.707974575, -74.013592186)"
731963,db045e61,8/7/2015 9:30,Friday,Aug,7,2015,9,8,7,2015,BURGLARY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1009807,194444,"(40.700351944, -73.90783083)"
731964,945c48b2,8/7/2015 9:30,Friday,Aug,7,2015,9,8,7,2015,BURGLARY,FELONY,E,14,MANHATTAN,N.Y. POLICE DEPT,988584,214165,"(40.754517133, -73.984358291)"
731966,225373f1,8/7/2015 9:40,Friday,Aug,7,2015,9,8,7,2015,GRAND LARCENY,FELONY,G,49,BRONX,N.Y. POLICE DEPT,1029933,251917,"(40.8580188400001, -73.8348563389999)"
732278,b3c981be,8/7/2015 10:35,Friday,Aug,7,2015,10,8,7,2015,ROBBERY,FELONY,G,26,MANHATTAN,N.Y. POLICE DEPT,996351,236132,"(40.814803479, -73.956284484)"
732292,fc6cf243,8/7/2015 11:45,Friday,Aug,7,2015,11,8,7,2015,FELONY ASSAULT,FELONY,G,75,BROOKLYN,N.Y. POLICE DEPT,1017165,183047,"(40.6690454970001, -73.8813501069999)"
732600,814dba44,8/7/2015 12:00,Friday,Aug,7,2015,12,10,8,2015,GRAND LARCENY,FELONY,G,88,BROOKLYN,N.Y. POLICE DEPT,992943,191513,"(40.6923396620001, -73.968654153)"
